teaching_rating,teaching_comment,course_rating,course_comment,exam_rating,exam_comment,lab_rating,lab_comment,library_rating,library_comment,extra_rating,extra_comment,teaching_comment_sentiment,course_comment_sentiment,exam_comment_sentiment,lab_comment_sentiment,library_comment_sentiment,extra_comment_sentiment,teaching_score,course_score,exam_score,lab_score,library_score,extra_score,overall_score
0.5,teacher are punctual but they should also give us the some practical knowledge other than theortical,0.5,content of courses are average,1.0,examination pattern is good,0.0,not satisfactory lab work must include latest technologies,0.5,library facilities are good but number of books are less,1.0,extracurricular activities are excellent and provides best platform to students,-0.125,-0.15,0.7,0.5,0.26666666666666666,1.0,0.25,0.24,0.8799999999999999,0.2,0.4066666666666667,1.0,0.4961111111111111
1.0,good,0.0,not good,1.0,good,1.0,good,0.0,not good,1.0,good,0.7,-0.35,0.7,0.7,-0.35,0.7,0.8799999999999999,-0.13999999999999999,0.8799999999999999,0.8799999999999999,-0.13999999999999999,0.8799999999999999,0.5399999999999999
1.0,excellent lectures are delivered by teachers and all teachers are very punctual,1.0,all courses material provide very good knowledge in depth,1.0,exam pattern is up to the mark and the cgpa depends on the various marks distributions like ca mte etc which is very nice as compare to other institutions paper checking does not depend on length of ques but on the material which is the best part of it,1.0,lab work is properly covered in the labs by the faculty and evaluations help to learn more practical knowledge in depth,1.0,library facilities are excellent in terms of good techniques that are used over there,1.0,extra curricular activities also help students to divert their mind from their study for some time university plays an important role in this task,0.6,0.9099999999999999,0.41375,0.25,0.85,0.2,0.84,0.964,0.7655,0.7,0.94,0.6799999999999999,0.8149166666666666
1.0,good,0.0,content of course is perfectly in line with the teaching philosophy that is being perpetuated here ie crammingrote learning,0.0,again the university tests students of their ability to memorize stuff questions should emphasize more on concepts rather than testing brains cramming storage house,1.0,good,0.5,its the best thing i have seen in this universityalbeit the behaviour of library staff is unprofessional at times they are whimsically rude,0.0,complete wastage of time again this opinion is strictly personal and may not coincide with others,0.7,1.0,0.5,0.7,0.35,0.05,0.8799999999999999,0.4,0.2,0.8799999999999999,0.43999999999999995,0.020000000000000004,0.4699999999999999
1.0,teachers give us all the information required to improve the performance,1.0,content of courses improves my knowledge,1.0,examination pattern is good,1.0,practical work provides detail knowledge of theoretical work,1.0,library has huge collection of books from different authors,1.0,extracurricular activities increases mental and physical abilities,0.0,0.0,0.7,0.0,0.20000000000000004,-0.05,0.6,0.6,0.8799999999999999,0.6,0.6799999999999999,0.58,0.6566666666666667
1.0,yes,1.0,yes,1.0,yes,1.0,yes,1.0,yes,1.0,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6
1.0,good and punctual,1.0,good,1.0,good,1.0,good,1.0,hardworking,0.5,no views,0.7,0.7,0.7,0.7,0.0,0.0,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.6,0.3,0.7366666666666665
1.0,it is good,1.0,this semester university has provide best teachers,1.0,i like the question pattern,1.0,everything is going fine in lab learning new things that is good for us,0.5,i am satisfied with the facilities but few books are limited of database distribution,0.5,no idea about the extracurricular activities,0.7,1.0,0.0,0.41767676767676765,0.07619047619047618,0.0,0.8799999999999999,1.0,0.6,0.767070707070707,0.3304761904761905,0.3,0.6462578162578162
1.0,good,0.0,needs some improvement,1.0,good,1.0,good,0.0,its required some libral in rules,1.0,good it provides a great platform,0.7,0.0,0.7,0.7,0.0,0.75,0.8799999999999999,0.0,0.8799999999999999,0.8799999999999999,0.0,0.9,0.59
1.0,good,0.0,needs some improvement,1.0,good,1.0,good,0.0,its required some libral in rules,1.0,good it provides a great platform,0.7,0.0,0.7,0.7,0.0,0.75,0.8799999999999999,0.0,0.8799999999999999,0.8799999999999999,0.0,0.9,0.59
1.0,its good when compare with my btech lectures and teaching activities,0.5,knowledge and depth of the course is good but while coming to the material its not upto the mark,1.0,this university is far better than other university when coming to the exam patternmarks disturbation and while coming to paper checking no biased corrections equal to all,0.0,lab and practical are not upto the mark the topic which are practiced are almost already done in btech,1.0,good,1.0,while coming to extracurriculum activities its better than any other university which i had come around,0.7,0.7,0.11875,0.0,0.7,0.1875,0.8799999999999999,0.58,0.6475,0.0,0.8799999999999999,0.675,0.6104166666666666
1.0,good,0.5,knowledgedepth of course is good but course material are not upto the mark,1.0,great,0.0,not upto the mark,1.0,good,1.0,awesome,0.7,0.7,0.8,0.0,0.7,1.0,0.8799999999999999,0.58,0.92,0.0,0.8799999999999999,1.0,0.71
1.0,way of teaching is good,1.0,course content is knowledgeable,1.0,exam pattern is good and good paper checking,0.0,lab improves practical knowledge,1.0,good library facilities,1.0,ok,0.7,0.0,0.7,0.0,0.7,0.5,0.8799999999999999,0.6,0.8799999999999999,0.0,0.8799999999999999,0.8,0.6733333333333333
0.5,university teaching here is very much dependent upon slidesthough it is a easy way of teaching but still leaving some concepts unclearotherwise interaction with the faculty is goodlecture delivery sometimes is not upto the mark and punctuality is fine,0.0,content of the courses is good but some courses need improvement course material is not upto the mark,0.5,pattern and procedure of the examination is very good paper checking needed to be improved,0.5,sometimes systems at labs are screwed up otherwise everything is at their respected desk,1.0,library facilities are very good no issues,1.0,this university is no in terms of extracurricular activities and in encouraging students to participate at their comfort levels,0.37000000000000005,0.7,0.9099999999999999,0.0,0.9099999999999999,0.0,0.448,0.27999999999999997,0.6639999999999999,0.3,0.964,0.6,0.5426666666666666
1.0,good,1.0,good,1.0,good,1.0,good,1.0,hardworking,1.0,good,0.7,0.7,0.7,0.7,0.0,0.7,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.6,0.8799999999999999,0.8333333333333331
1.0,good,1.0,very good,1.0,excellent,1.0,good,1.0,good,1.0,good,0.7,0.9099999999999999,1.0,0.7,0.7,0.7,0.8799999999999999,0.964,1.0,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.9139999999999998
1.0,as compared to other colleges and university our university is perfect in all the aspects,0.0,material of the course is not good enough,1.0,good,1.0,practical work is fair,1.0,excellent,1.0,great job,0.4375,-0.175,0.7,0.7,1.0,0.8,0.775,-0.06999999999999999,0.8799999999999999,0.8799999999999999,1.0,0.92,0.7308333333333333
1.0,good,0.0,sometimes proper course material is not required,1.0,good,1.0,good,1.0,good,1.0,excellent,0.7,0.0,0.7,0.7,0.7,1.0,0.8799999999999999,0.0,0.8799999999999999,0.8799999999999999,0.8799999999999999,1.0,0.7533333333333333
1.0,lectures helps in clear our concept,1.0,easily available course material with sufficient knowledge gaining,1.0,good marks distribution students can easily check there performance throught the semester,1.0,practical and easy learning,1.0,good,1.0,its give various opportunities and exposure,0.10000000000000002,0.4,0.5666666666666667,0.43333333333333335,0.7,0.0,0.64,0.76,0.8266666666666667,0.7733333333333333,0.8799999999999999,0.6,0.7466666666666666
0.5,talk about punctuality its really good but the lecture delivery is somehow not appreciated because every teacher has different style of teaching so lack of knowledge in terms of subject is there and interaction is also kind of boring a teacher should be entertaining as well but they are really not all they want us to be studios and disciplined which is really not the thinking of every student,1.0,the materials or links provided for study purpose is good clarity in depth of courses but again it differs from teacher to teacher,0.5,exam pattern and how it is conducted is really seems to be good but its my first year and when i went to scrutiny for the first time it was not as per my expectations teachers have marked the answers as per their choice they must look for the content rather than the length of answers so poor paper checking is there,0.0,the evaluation is again bad for our ca as one of our faculty is really weird he gives us remarks on the basis of how we present things in front of it he never look for the content of our answer which is really annoying as he expects us to deliver answer in the way he wants us to do but how can a person do that as people do have different mentality and they do explain themselves in different manner so a teacher must understand that quality of a child and should give him marks on the basis of what they say not what they should say,0.5,again some of the faculties dont know how to behave otherwise it is good,0.5,this is really a good thing that events happen in our university regularly but they must be announced early so that every student can prepare themselves for participation because sometimes we get to know about most of the events when they have already been conducted so announcement must be there,0.03703703703703703,0.7,0.18333333333333335,-0.2571428571428571,0.7,0.32499999999999996,0.3148148148148148,0.8799999999999999,0.37333333333333335,-0.10285714285714286,0.58,0.42999999999999994,0.4125485008818342
